"","Date","ID","State","PM25FM","AQIcategory","PM25PAcor_withholding","RH","PM25cf1"
"6892",2019-05-03,"IA10","IA",4.4,"Good",8.038617846178,66.7287644787645,14.2958034938801
"6893",2019-08-11,"IA11","IA",7.4625,"Good",9.07891731209939,59.538247566064,15.1074191102612
"6894",2019-04-26,"IA11","IA",5.7375,"Good",4.8101129501442,35.8953703703704,4.13901388888889
"6895",2019-07-02,"IA11","IA",10.558333,"Good",11.07425396146,51.1877607788595,17.4460869552619
"6896",2019-01-20,"IA11","IA",5.6875,"Good",3.80200803485169,43.3305555555556,3.41965629079915
"6897",2019-02-21,"IA10","IA",24.2375,"Moderate",28.2504826576562,52.303893637227,48.0683983965395
"6898",2019-02-02,"IA10","IA",22.441667,"Moderate",23.3252021353828,61.9591457753018,40.72100471057
"6899",2019-02-10,"IA11","IA",16.425,"Moderate",22.1380884834275,57.4212962962963,37.9635342094875
"6900",2019-06-18,"IA11","IA",11.113043,"Moderate",14.0939832752867,51.8601398601399,22.8981816039114
"6901",2019-03-03,"IA10","IA",7.754167,"Good",9.62132564050053,53.113172541744,15.1460300346686
"6902",2019-03-28,"IA11","IA",9,"Moderate",12.0306257280574,38.92843866171,17.3804205146705
"6903",2019-01-28,"IA11","IA",12.9,"Moderate",19.1764802661968,59.8905380333952,33.0659985453445
"6904",2019-01-02,"IA11","IA",8.5,"Moderate",12.2260276283676,57.5972222222222,20.4098512150626
"6905",2019-11-17,"IA11","IA",24.083333,"Moderate",29.3697347185731,68.5774058577406,52.3920464654341
"6906",2019-02-10,"IA10","IA",15.6125,"Moderate",17.8851990487317,61.2511584800741,30.9714555057838
"6907",2019-01-09,"IA11","IA",3.3,"Good",3.88814629226237,46.18825722274,3.98310153835828
"6908",2019-03-09,"IA11","IA",12.1,"Moderate",19.7741357215995,66.075,35.0147037037037
"6909",2019-08-04,"IA11","IA",10.616667,"Good",11.2098084691508,44.6142061281337,16.741807717516
"6910",2019-06-04,"IA12","IA",10.3,"Good",8.57292677683575,58.139470013947,14.0090306834031
"6911",2019-07-09,"IA12","IA",18.5,"Moderate",23.3940248326137,60.6301564722617,40.6520724765988
"6912",2019-08-25,"IA12","IA",9.3,"Good",5.33396086834488,62.4277777777778,8.88102083333333
"6913",2019-07-03,"IA12","IA",18.4,"Moderate",12.5418063712538,71.0153417015342,22.8981975244073
"6914",2019-08-12,"IA12","IA",10.3,"Moderate",13.4079359397586,76.1515994436718,25.172402294854
"6915",2019-08-07,"IA12","IA",7.7,"Good",7.33209080062191,54.0461538461538,11.2201678321678
"6916",2019-12-31,"IA12","IA",3.6,"Good",3.9264670701474,64.7360114777618,6.71655695555208
"6917",2019-06-01,"IA12","IA",15.8,"Moderate",18.6611880304443,51.6535211267606,30.9683917042452
"6918",2019-06-05,"IA12","IA",4.9,"Good",3.89356094316572,57.9108910891089,5.67736159249272
"6919",2019-07-18,"IA12","IA",6.9,"Good",6.47021810458017,63.2333333333333,11.0119307008368
"6920",2019-09-10,"IA12","IA",13.9,"Moderate",15.289677453675,61.6050069541029,26.4191689943594
"6921",2019-07-30,"IA12","IA",4.3,"Good",3.79445224525249,53.2772277227723,4.83569028956467
"6922",2019-09-30,"IA12","IA",7.8,"Good",9.14903016335923,64.2875,15.9142777777778
"6923",2019-11-26,"IA12","IA",10.2,"Good",11.6152528263948,70.1388888888889,21.1290069444444
"6924",2019-11-09,"IA12","IA",14.1,"Moderate",12.2909797203508,47.7991452991453,19.1169637171108
"6925",2019-11-17,"IA12","IA",23.1,"Moderate",26.2033070062051,70.5083333333333,47.0539039416511
"6926",2019-11-10,"IA12","IA",12.6,"Good",10.809756121342,59.8902777777778,18.2276388888889
"6927",2019-12-08,"IA12","IA",18,"Moderate",23.00865389269,67.2430555555556,40.9189583333333
"6928",2019-10-27,"IA12","IA",13.5,"Moderate",16.5988079557352,62.3177966101695,28.8433369291514
"6929",2019-07-29,"IA12","IA",7.1,"Good",8.13542951405197,55.9916666666667,12.9244722222222
"6930",2019-07-25,"IA12","IA",13,"Moderate",16.7928340685129,50.3138075313808,27.462350069735
"6931",2019-07-04,"IA12","IA",31.3,"Moderate",24.9514259269373,65.4696755994358,44.1095978485921
"6932",2019-09-15,"IA12","IA",10,"Good",10.2021940322657,69.4172461752434,18.5192506954103
"6933",2019-08-06,"IA12","IA",4.4,"Good",4.91640090864307,58.6875,7.60296686840472
"6934",2019-10-08,"IA12","IA",6.3,"Good",5.20654087238582,55.7584269662921,7.69659144818976
"6935",2019-10-02,"IA12","IA",2.7,"Good",2.15274069160609,74.2944444444445,4.94450694444444
"6936",2019-10-26,"IA12","IA",15.7,"Moderate",17.147326680262,68.0639204545455,30.6419049873737
"6937",2019-10-29,"IA12","IA",4.9,"Good",4.0287090881985,63.0027816411683,6.64880031453156
"6938",2019-07-26,"IA12","IA",11.7,"Moderate",14.4319796736258,53.0277777777778,23.6654166666667
"6939",2019-06-12,"IA12","IA",3.5,"Good",3.41333281750792,60.9191073919107,5.25799075155363
"6940",2019-06-11,"IA12","IA",8.7,"Good",7.63387453414024,41.8936781609195,10.008949323008
"6941",2019-09-26,"IA12","IA",3.2,"Good",2.34029400800931,47.2791666666667,1.39477153361345
"6942",2019-12-20,"IA12","IA",16.8,"Moderate",17.9362571434055,60.2111111111111,30.9125416666667
"6943",2019-07-06,"IA12","IA",11.3,"Moderate",13.0159433889545,58.6013888888889,21.9550694444444
"6944",2019-12-19,"IA12","IA",16.7,"Moderate",16.7959917362523,58.376604850214,28.6266530519234
"6945",2019-07-22,"IA12","IA",4.8,"Good",4.32052172237733,50.3254520166898,5.34447148817802
"6946",2019-12-29,"IA12","IA",3,"Good",2.55933513603808,71.1902777777778,5.2195
"6947",2019-12-14,"IA12","IA",16.2,"Good",11.523849917601,61.8944444444444,19.7820972222222
"6948",2019-12-01,"IA12","IA",2.1,"Good",0.430331511010687,70.6458333333333,1.36548611111111
"6949",2019-12-05,"IA12","IA",10.2,"Good",8.32485913831177,60.663421418637,13.9318011126565
"6950",2019-07-12,"IA12","IA",7.1,"Good",6.55957610108237,52.5452016689847,9.63441731378458
"6951",2019-08-05,"IA12","IA",11,"Good",9.91599373600487,53.9842406876791,15.7938027000737
