"","PM25cf1a","PM25cf1b","ID","diff"
"1",2.82042870456664,2.69991604477612,"AK1"," within 2sd"
"2",1.12209453197405,0.859777158774373,"AK1"," within 2sd"
"3",8.72910185185185,8.5048051948052,"AK1"," within 2sd"
"4",3.63820825515947,3.34962441314554,"AK1"," within 2sd"
"5",3.20577030812325,3.17637126865672,"AK1"," within 2sd"
"6",3.37325925925926,3.16947222222222,"AK1"," within 2sd"
"7",3.86012962962963,3.73907235621521,"AK1"," within 2sd"
"8",4.57618164967563,4.16320037105751,"AK1"," within 2sd"
"9",4.9930462962963,4.66584259259259,"AK1"," within 2sd"
"10",2.81569444444444,2.57712962962963,"AK1"," within 2sd"
"11",5.20709916589435,4.91173148148148,"AK1"," within 2sd"
"12",35.8175555555556,36.0335925925926,"AK1"," within 2sd"
"13",0.395996275605214,0.357665732959851,"AK1"," within 2sd"
"14",1.06323420074349,0.97256052141527,"AK1"," within 2sd"
"15",2.70495798319328,2.41176470588235,"AK1"," within 2sd"
"16",21.1554203262233,22.5733417085427,"AK1"," within 2sd"
"17",1.08630555555556,0.911388888888889,"AK1"," within 2sd"
"18",3.05550139275766,2.79877437325905,"AK1"," within 2sd"
"19",1.32047222222222,1.14998611111111,"AK1"," within 2sd"
"20",2.34138888888889,2.06811111111111,"AK1"," within 2sd"
"21",2.7647983310153,2.46690807799443,"AK1"," within 2sd"
"22",2.72348611111111,2.33826388888889,"AK1"," within 2sd"
"23",2.94240611961057,2.62684283727399,"AK1"," within 2sd"
"24",2.94084722222222,2.70716666666667,"AK1"," within 2sd"
"25",2.85073611111111,2.54391666666667,"AK1"," within 2sd"
"26",2.29923611111111,1.977875,"AK1"," within 2sd"
"27",1.36451388888889,1.04522222222222,"AK1"," within 2sd"
"28",2.62816666666667,2.28626388888889,"AK1"," within 2sd"
"29",5.13368055555556,4.57255555555556,"AK1"," within 2sd"
"30",7.58216666666667,7.02275,"AK1"," within 2sd"
"31",6.83947222222222,6.33029166666667,"AK1"," within 2sd"
"32",4.16733333333333,3.81793055555556,"AK1"," within 2sd"
"33",3.76738888888889,3.46668055555556,"AK1"," within 2sd"
"34",2.84493055555556,2.40202777777778,"AK1"," within 2sd"
"35",5.78081944444444,5.15863888888889,"AK1"," within 2sd"
"36",6.88159722222222,6.29991666666667,"AK1"," within 2sd"
"37",13.9893194444444,13.506625,"AK1"," within 2sd"
"38",38.3925972222222,38.7558055555556,"AK1"," within 2sd"
"39",12.5019027777778,12.5317222222222,"AK1"," within 2sd"
"40",131.449388888889,136.059430555556,"AK1"," within 2sd"
"41",87.8222222222222,90.7435138888889,"AK1"," within 2sd"
"42",112.349388888889,116.118888888889,"AK1"," within 2sd"
"43",121.914166666667,125.011916666667,"AK1"," within 2sd"
"44",18.191,17.9918055555556,"AK1"," within 2sd"
"45",7.94847222222222,7.85920833333333,"AK1"," within 2sd"
"46",7.03584722222222,6.931375,"AK1"," within 2sd"
"47",7.79802777777778,7.87676388888889,"AK1"," within 2sd"
"48",2.35895833333333,2.38669444444444,"AK1"," within 2sd"
"49",3.22090277777778,3.28827777777778,"AK1"," within 2sd"
"50",3.49725,3.47654166666667,"AK1"," within 2sd"
"51",0.303166666666667,0.356263888888889,"AK1"," within 2sd"
"52",1.04766666666667,1.14623611111111,"AK1"," within 2sd"
"53",1.120625,1.28844444444444,"AK1"," within 2sd"
"54",2.27203059805285,2.39175243393602,"AK1"," within 2sd"
"55",3.88377777777778,4.14977777777778,"AK1"," within 2sd"
"56",4.17855354659249,4.65861111111111,"AK1"," within 2sd"
"57",8.62904166666667,9.00413888888889,"AK1"," within 2sd"
"58",11.2565,12.4058194444444,"AK1"," within 2sd"
"59",6.99866666666667,7.40119444444444,"AK1"," within 2sd"
"60",3.49280555555556,3.63227777777778,"AK1"," within 2sd"
"61",3.45456944444444,3.54758333333333,"AK1"," within 2sd"
"62",4.28141666666667,4.33804166666667,"AK1"," within 2sd"
"63",3.14580555555556,3.16076495132128,"AK1"," within 2sd"
"64",3.7905,3.90172222222222,"AK1"," within 2sd"
"65",6.58163888888889,6.74058333333333,"AK1"," within 2sd"
"66",21.2620416666667,21.9916527777778,"AK1"," within 2sd"
"67",9.12643055555556,9.39938888888889,"AK1"," within 2sd"
"68",4.24426388888889,3.94183333333333,"AK1"," within 2sd"
"69",2.32904033379694,2.28774687065369,"AK1"," within 2sd"
"70",2.24906944444444,2.20654166666667,"AK1"," within 2sd"
"71",4.17116666666667,4.24729166666667,"AK1"," within 2sd"
"72",7.85663888888889,7.80023611111111,"AK1"," within 2sd"
"73",8.26420833333333,7.99275,"AK1"," within 2sd"
"74",3.35740277777778,3.08155555555556,"AK1"," within 2sd"
"75",7.42541666666667,7.22076388888889,"AK1"," within 2sd"
"76",5.32963888888889,5.22838888888889,"AK1"," within 2sd"
"77",3.059875,3.075375,"AK1"," within 2sd"
"78",2.72025,2.56798611111111,"AK1"," within 2sd"
"79",19.5599722222222,19.4885416666667,"AK1"," within 2sd"
"80",31.7830555555556,32.7115,"AK1"," within 2sd"
"81",24.8080833333333,25.46625,"AK1"," within 2sd"
"82",6.92697222222222,7.12191666666667,"AK1"," within 2sd"
"83",2.19875871687587,2.46299860529986,"AK1"," within 2sd"
"84",2.41451388888889,2.60331944444444,"AK1"," within 2sd"
"85",1.67636111111111,1.75963888888889,"AK1"," within 2sd"
"86",0.129111111111111,0.234305555555556,"AK1"," within 2sd"
"87",2.295875,2.45373611111111,"AK1"," within 2sd"
"88",4.18547222222222,4.31423611111111,"AK1"," within 2sd"
"89",2.85138888888889,3.08490277777778,"AK1"," within 2sd"
"90",1.23902777777778,1.48233333333333,"AK1"," within 2sd"
"91",1.179,1.31547222222222,"AK1"," within 2sd"
"92",4.27611111111111,4.50001388888889,"AK1"," within 2sd"
"93",3.97318055555556,4.10436111111111,"AK1"," within 2sd"
"94",3.70625,3.96594444444444,"AK1"," within 2sd"
"95",2.06456944444444,2.22504166666667,"AK1"," within 2sd"
"96",2.82042870456664,2.69991604477612,"AK1"," within 2sd"
"97",3.63820825515947,3.34962441314554,"AK1"," within 2sd"
"98",3.86012962962963,3.73907235621521,"AK1"," within 2sd"
"99",2.81569444444444,2.57712962962963,"AK1"," within 2sd"
"100",0.709148936170213,0.696079703429101,"AK1"," within 2sd"
"101",2.70495798319328,2.41176470588235,"AK1"," within 2sd"
"102",3.05550139275766,2.79877437325905,"AK1"," within 2sd"
"103",2.7647983310153,2.46690807799443,"AK1"," within 2sd"
"104",2.94084722222222,2.70716666666667,"AK1"," within 2sd"
"105",1.36451388888889,1.04522222222222,"AK1"," within 2sd"
"106",7.58216666666667,7.02275,"AK1"," within 2sd"
"107",1.75506944444444,1.48584722222222,"AK1"," within 2sd"
"108",5.78081944444444,5.15863888888889,"AK1"," within 2sd"
"109",38.3925972222222,38.7558055555556,"AK1"," within 2sd"
"110",112.349388888889,116.118888888889,"AK1"," within 2sd"
"111",7.94847222222222,7.85920833333333,"AK1"," within 2sd"
"112",2.35895833333333,2.38669444444444,"AK1"," within 2sd"
"113",0.303166666666667,0.356263888888889,"AK1"," within 2sd"
"114",3.88377777777778,4.14977777777778,"AK1"," within 2sd"
"115",8.62904166666667,9.00413888888889,"AK1"," within 2sd"
"116",3.49280555555556,3.63227777777778,"AK1"," within 2sd"
"117",3.14580555555556,3.16076495132128,"AK1"," within 2sd"
"118",21.2620416666667,21.9916527777778,"AK1"," within 2sd"
"119",2.24906944444444,2.20654166666667,"AK1"," within 2sd"
"120",8.26420833333333,7.99275,"AK1"," within 2sd"
"121",7.42541666666667,7.22076388888889,"AK1"," within 2sd"
"122",24.8080833333333,25.46625,"AK1"," within 2sd"
"123",0.129111111111111,0.234305555555556,"AK1"," within 2sd"
"124",1.23902777777778,1.48233333333333,"AK1"," within 2sd"
"125",4.27611111111111,4.50001388888889,"AK1"," within 2sd"
"126",2.06456944444444,2.22504166666667,"AK1"," within 2sd"
"127",40.0331838975297,16.6839002671416,"AK2",">abs(2sd)"
"128",44.0291691104594,15.892596789424,"AK2",">abs(2sd)"
"129",14.7298046875,18.659820585458,"AK2"," within 2sd"
"130",10.1872983479106,12.8478853383459,"AK2"," within 2sd"
"131",8.73890130353817,8.7419944082013,"AK2"," within 2sd"
"132",8.535,10.2935354477612,"AK2"," within 2sd"
