"","type","modelnum","variable","value"
"65439","LOBD","0Raw","MBE",2.95713308712023
"65440","LOBD","0Raw","MBE",4.26840724090282
"65441","LOBD","0Raw","MBE",2.97059788402607
"65442","LOBD","0Raw","MBE",3.66380217277113
"65443","LOBD","0Raw","MBE",1.99677692427743
"65444","LOBD","0Raw","MBE",5.08118695112914
"65445","LOBD","0Raw","MBE",6.20601853058924
"65446","LOBD","0Raw","MBE",6.3713232218042
"65447","LOBD","0Raw","MBE",1.90603475271712
"65448","LOBD","0Raw","MBE",3.1849000600497
"65449","LOBD","0Raw","MBE",1.86836020523077
"65450","LOBD","0Raw","MBE",2.57257355422298
"65451","LOBD","0Raw","MBE",6.0892378676101
"65452","LOBD","0Raw","MBE",2.20082488163487
"65453","LOBD","0Raw","MBE",2.32988010169272
"65454","LOBD","0Raw","MBE",4.05947156828365
"65455","LOBD","0Raw","MBE",4.63257882010569
"65456","LOBD","0Raw","MBE",5.88755467876251
"65457","LOBD","0Raw","MBE",5.89966990143838
"65458","LOBD","0Raw","MBE",6.02443934577852
"65459","LOBD","0Raw","MBE",3.58695827484076
"65460","LOBD","0Raw","MBE",2.36043716918955
"65461","LOBD","0Raw","MBE",2.86884034789818
"65462","LOBD","0Raw","MBE",2.74653327854836
"65463","LOBD","0Raw","MBE",3.94158378543589
"65464","LOBD","0Raw","MBE",2.76284497119699
"65465","LOBD","0Raw","MBE",3.42202489397445
"65466","LOBD","0Raw","MBE",1.86871213426748
"65467","LOBD","0Raw","MBE",4.4178303034935
"65468","LOBD","0Raw","MBE",5.14548001091546
"65469","LOBD","0Raw","MBE",5.0532892205049
"65470","LOBD","0Raw","MBE",2.55873105148491
"65471","LOBD","0Raw","MBE",1.32355465795148
"65472","LOBD","0Raw","MBE",1.97966729808198
"65473","LOBD","0Raw","MBE",5.28018109612095
"65474","LOBD","0Raw","MBE",1.54665409598124
"65475","LOBD","0Raw","MBE",1.66766073721783
"65476","LOBD","0Raw","MBE",3.41043582130296
"65477","LOBD","0Raw","MBE",4.08796243089847
"65478","LOBD","0Raw","MBE",5.2274000168232
"65479","LOBD","0Raw","MBE",5.40787602126956
"65480","LOBD","0Raw","MBE",5.56786064458627
"65481","LOBD","0Raw","MBE",3.18574265879744
"65482","LOBD","0Raw","MBE",1.99582095685458
"65483","LOBD","0Raw","MBE",2.48854602192281
"65484","LOBD","0Raw","MBE",2.40338469950209
"65485","LOBD","0Raw","MBE",3.56967207749779
"65486","LOBD","0Raw","MBE",2.42564077862072
